id,full_name,username,password
1,Alisher Zokirov,alisher,1234
2,Bekzod Tursunov,bekzod,2341
3,Madina Karimova,madina_k,pass987
4,Zilola Ahmedova,zilola_a,ahmedova99
5,Jasur Olimov,jasur_olimov,secure123
6,Sardor Ergashev,sardor_e,qwerty77
7,Laylo Tojiyeva,laylo_t,my_password
8,Otabek Xasanov,otabek_x,xasan_95
9,Nigora Yusupova,nigora_yu,yusupova1
10,Shaxzod Matkarimov,shaxzod_m,admin2026
11,Diyora Sultonova,diyora_s,sulton_d
12,Bobur Ro'ziyev,bobur_r,roziyev_b
13,Kamola Odilova,kamola_o,odilova_k
14,Aziz Qodirov,aziz_qodirov,qodirov_a
15,Guli Nazarova,guli_n,nazarova_g
16,Farrux Ismoilov,farrux_i,ismoilov_f
17,Sevara Abduvaliyeva,sevara_a,abdu_sev
18,Doston Isoqov,doston_i,isoqov_d
19,Zuhra Umarova,zuhra_u,umarova_z
20,Anvar Berdiyev,anvar_b,berdiyev_a
21,Malika Shodiyeva,malika_sh,shodiya_m
22,Abbos Karimov,abbos_k,karimov_ab
23,Rano Soliyeva,rano_s,soliyeva_r
24,Sirojiddin Nabiyev,siroj_n,nabiyev_s
25,Umida Rustamova,umida_r,rustamova_u
26,Jahongir Aliyev,jahongir_a,aliyev_j
27,Nodira Qosimova,nodira_q,qosimova_n
28,Ilyos Hakimov,ilyos_h,hakimov_il
29,Feruza Ziyoyeva,feruza_z,ziyo_fer
30,Rustam Azimov,rustam_a,azimov_r
31,Shahnoza Orifova,shahnoza_o,orifova_sh
32,Mirali Toshmatov,mirali_t,toshmatov_m
33,Zavqiddin G'ofurov,zavqi_g,gofurov_z
34,Dilnoza Jo'rayeva,dilnoza_j,jorayeva_d
35,Xurshid Mirzayev,xurshid_m,mirzayev_x
36,Zarina Baxtiyorova,zarina_b,baxtiyor_z
37,Asadbek Shokirov,asad_sh,shokirov_as
38,Mohira To'rayeva,mohira_t,torayeva_m
39,Eldor Hamroyev,eldor_h,hamroyev_e
40,Sitora Kenjayeva,sitora_k,kenjayeva_s
41,Olimjon Mansurov,olim_m,mansurov_o
42,Nargiza Sobirova,nargiza_s,sobirova_n
43,Sherzod Bobojonov,sherzod_b,bobojonov_sh
44,Lola Xoliqova,lola_x,xoliqova_l
45,Ulug'bek Fayziyev,ulugbek_f,fayziyev_u
46,Gulnoza Qahhorova,gulnoza_q,qahhorova_g
47,Suhrob Mo'minov,suhrob_m,mominov_s
48,Rayhon Yo'ldosheva,rayhon_y,yoldosheva_r
49,Bahrom Norov,bahrom_n,norov_b
50,Nilufar Tojimurodova,nilufar_t,tojimurod_n
